W,Kper9,IP,ERA,WHIP,Inducted
104,4.13,1881.6,4.01,1.37,N
116,4.43,1881.2,2.70,1.24,N
116,7.69,1879.9,3.24,1.26,N
119,7.60,1876.7,3.66,1.18,N
128,7.03,1875.9,4.10,1.35,N
101,3.14,1875.5,4.52,1.48,N
108,4.74,1875.1,3.62,1.31,N
78,3.95,1874.9,3.84,1.34,N
111,4.77,1871.3,4.02,1.43,N
115,5.88,1866.6,4.53,1.44,N
114,8.40,1866.6,3.36,1.14,N
107,5.33,1863.6,4.10,1.30,N
111,4.71,1857.4,4.23,1.41,N
125,7.43,1852.7,3.59,1.21,N
101,3.97,1849.5,4.41,1.44,N
107,4.87,1849.4,3.62,1.19,N
134,7.81,1849.0,3.19,1.26,N
111,3.43,1848.9,3.74,1.35,N
97,5.55,1847.4,3.94,1.36,N
128,4.46,1840.9,2.97,1.22,N
124,3.02,1838.1,2.47,1.21,N
104,5.94,1838.0,4.71,1.37,N
96,4.21,1830.8,3.93,1.38,N
104,5.78,1827.4,4.09,1.31,N
109,5.59,1826.3,4.03,1.33,N
127,2.22,1821.7,3.11,1.29,N
132,4.67,1819.1,3.72,1.32,N
99,2.53,1818.4,4.15,1.45,N
82,2.65,1818.0,3.81,1.42,N
105,5.61,1816.8,3.29,1.24,N
100,5.99,1816.1,4.65,1.37,N
103,3.26,1814.8,3.85,1.36,N
93,3.70,1812.6,3.55,1.39,N
98,5.83,1810.8,4.12,1.32,N
103,4.85,1810.4,3.46,1.32,N
115,5.34,1809.6,3.66,1.30,N
124,7.47,1809.3,3.01,1.23,Y
105,4.63,1809.0,4.01,1.32,N
92,6.46,1807.7,3.81,1.35,N
110,4.04,1807.0,3.92,1.29,N
121,6.05,1806.0,3.98,1.32,N
112,5.32,1803.3,4.60,1.44,N
92,3.96,1803.1,4.80,1.47,N
105,7.29,1802.0,4.19,1.35,N
120,8.74,1800.4,3.46,1.18,N
117,4.95,1796.9,3.12,1.20,N
96,3.31,1793.4,3.70,1.32,N
116,2.74,1792.0,3.04,1.24,N
114,7.05,1791.6,4.09,1.31,N
108,5.16,1791.2,3.53,1.20,N
108,5.49,1788.7,4.39,1.34,N
107,5.36,1788.4,3.97,1.35,N
81,4.68,1788.2,3.50,1.30,N
90,6.57,1787.7,3.58,1.29,N
95,2.44,1786.4,3.73,1.41,N
76,3.38,1782.6,3.66,1.39,N
113,5.30,1780.6,4.02,1.39,N
108,4.45,1778.1,3.52,1.32,N
115,7.08,1777.6,4.49,1.43,N
102,3.05,1773.3,3.08,1.29,N
113,5.70,1767.7,4.07,1.38,N
122,4.29,1765.8,3.58,1.22,N
99,6.41,1764.6,4.56,1.35,N
109,6.66,1764.2,3.48,1.29,N
83,4.85,1762.1,3.10,1.20,N
106,4.46,1761.0,3.79,1.32,N
107,6.40,1760.4,3.74,1.28,N
91,5.27,1760.4,5.03,1.48,N
89,3.08,1756.4,3.06,1.21,N
100,3.49,1755.6,2.82,1.22,N
104,5.43,1754.4,4.41,1.35,N
123,3.76,1752.6,3.50,1.41,N
95,3.31,1750.4,4.25,1.48,N
104,6.60,1748.3,3.15,1.21,N
102,6.85,1747.7,3.96,1.39,N
111,3.31,1747.4,3.66,1.30,N
100,5.02,1746.8,3.68,1.31,N
93,2.34,1740.9,3.18,1.30,N
102,4.43,1740.3,4.03,1.50,N
98,4.05,1739.6,4.02,1.44,N
91,5.40,1737.3,3.46,1.20,N
93,2.95,1736.3,4.15,1.36,N
97,4.98,1732.0,3.60,1.31,N
100,7.54,1730.4,3.47,1.19,N
106,5.22,1729.1,4.12,1.40,N
100,3.47,1728.7,3.50,1.29,N
101,2.36,1727.6,4.39,1.57,N
105,2.79,1725.4,4.20,1.44,N
119,4.50,1722.9,3.15,1.25,N
111,5.64,1722.6,3.76,1.33,N
101,2.63,1722.2,4.19,1.39,N
96,3.06,1721.6,3.97,1.46,N
122,5.14,1718.7,4.00,1.33,N
108,3.62,1716.8,3.50,1.33,N
100,5.78,1716.8,3.60,1.30,N
92,6.71,1715.7,4.44,1.51,N
99,2.49,1715.5,4.28,1.51,N
101,6.65,1712.4,3.64,1.42,N
108,2.99,1712.3,3.99,1.44,N
94,5.57,1710.1,3.96,1.30,N
94,3.60,1708.4,2.80,1.19,N
115,3.65,1707.1,3.64,1.36,N
106,6.21,1704.9,3.45,1.23,N
109,3.53,1703.7,3.81,1.36,N
114,6.87,1701.3,2.90,1.16,Y
109,4.90,1696.9,4.41,1.33,N
105,6.18,1694.0,3.24,1.25,N
91,2.71,1693.0,4.20,1.47,N
97,2.78,1691.6,2.61,1.24,N
97,7.29,1688.8,4.20,1.33,N
98,3.72,1688.4,3.66,1.42,N
79,2.34,1688.0,4.08,1.39,N
92,3.99,1685.9,3.99,1.37,N
96,3.98,1680.4,3.18,1.31,N
85,3.80,1680.1,3.81,1.23,N
115,4.72,1679.0,2.43,1.14,N
101,6.49,1678.3,4.71,1.53,N
110,5.58,1674.7,3.08,1.15,N
87,4.77,1674.0,4.25,1.43,N
92,3.33,1671.6,4.43,1.51,N
97,2.33,1666.5,3.96,1.45,N
105,4.58,1666.1,4.03,1.37,N
99,3.18,1662.4,3.72,1.38,N
113,6.46,1661.4,4.51,1.49,N
83,3.09,1656.0,2.87,1.16,N
109,2.91,1655.9,3.97,1.46,N
100,4.64,1655.0,4.01,1.30,N
101,5.28,1655.0,3.66,1.29,N
90,5.89,1652.1,3.54,1.28,N
99,3.20,1652.0,3.11,1.26,N
73,3.61,1651.4,3.74,1.35,Y
71,3.41,1650.1,3.22,1.27,N
78,4.45,1649.5,4.15,1.51,N
87,3.55,1648.7,3.73,1.41,N
102,7.54,1643.4,3.59,1.35,N
89,4.52,1641.0,3.96,1.44,N
88,6.37,1640.9,3.71,1.31,N
95,3.50,1637.6,3.58,1.24,N
95,3.37,1637.5,4.24,1.49,N
84,5.08,1632.1,2.88,1.27,N
87,4.91,1631.9,3.92,1.35,N
98,5.08,1631.2,4.30,1.39,N
98,4.58,1629.7,3.13,1.29,N
98,8.26,1620.4,3.22,1.21,N
87,3.45,1620.0,4.13,1.55,N
108,4.56,1619.2,3.01,1.30,N
98,5.79,1615.3,3.57,1.29,N
112,2.42,1609.6,2.73,1.15,N
92,3.99,1609.0,4.00,1.39,N
77,3.81,1608.5,2.99,1.26,N
100,4.52,1607.3,3.91,1.36,N
107,8.37,1606.0,3.15,1.24,N
102,3.15,1603.6,2.95,1.16,N
99,2.50,1602.9,3.39,1.36,N
97,2.96,1600.5,3.76,1.36,N
84,4.31,1600.2,3.07,1.33,N
94,4.32,1599.7,3.95,1.37,N
102,2.91,1598.4,2.38,1.22,N
103,5.05,1597.5,3.63,1.35,N
83,3.88,1597.3,3.80,1.31,N
94,7.47,1596.6,3.78,1.22,N
73,3.91,1595.7,3.82,1.44,N
82,6.21,1595.2,4.56,1.36,N
77,4.82,1591.7,4.67,1.48,N
92,3.43,1591.3,3.68,1.34,N
82,4.28,1591.0,3.67,1.26,N
91,5.03,1588.7,3.82,1.33,N
91,2.05,1587.6,4.53,1.57,N
86,5.38,1586.1,3.89,1.40,N
75,3.14,1583.0,3.06,1.28,N
91,3.28,1582.5,3.31,1.38,N
89,6.41,1582.3,4.99,1.34,N
66,2.45,1582.1,4.65,1.59,N
